"","RAV188","RAV1575","RAV324","RAV832","RAV61","RAV1008","RAV868","RAV64","RAV220","RAV834","RAV833","RAV438","RAV190","RAV1166","RAV192"
"pathologic_stage",0.583528905613923,0.738622204589874,0.803241120924889,0.166689763158076,0.561851242926478,0.473552968706604,0.486797939443051,0.63950343462297,0.686991265034331,0.113750083292281,0.454268892938376,0.544184887540173,0.286545666767488,0.635598757916358,0.951395186821675
"pathology_T_stage",0.277901190279899,0.607516254537461,0.573604621677574,0.31056966024338,0.48604239240058,0.401112056596038,0.702572990962155,0.665047716681197,0.764534632406328,0.089641732113168,0.141312000236164,0.533029828996862,0.170433378743359,0.814994576887826,0.738058307390654
"pathology_N_stage",0.103240956083485,0.15240103486647,0.113873386864303,0.49979143976977,0.392606426734848,0.0338556038396644,0.0336169167262517,0.0672910016445169,0.068628277696186,0.140684981985148,0.0506908949707081,0.360411924200928,0.0460367944187157,0.133833055723514,0.315296219056333
"pathology_M_stage",0.645083231231719,0.791689835880641,0.601804571181691,0.64418009188697,0.41672243871076,0.411100003103519,0.749688072462888,0.911871139224927,0.478221980306141,0.052381815860981,0.713428743011827,0.996636309782081,0.232995566072788,0.896038308884398,0.650540052116748
"residual_tumor.x",0.992537922711872,0.821283768619077,0.913427446583045,0.725102513179209,0.678182602339133,0.883444444800658,0.798045475439189,0.918812688166827,0.799580304944882,0.489364802247173,0.932938005275051,0.282938661019377,0.9628647984911,0.93135399666379,0.82989134620013
"race",0.0776879219852436,0.130308281123265,0.364816907428563,0.256197803180995,0.0448802329582518,0.154467845239363,0.770559748974815,0.22587909023284,0.118567967402127,0.90764720253972,0.312066693166736,0.397704425578274,0.13904375394754,0.470236126510313,0.576895426324142
"patient.anatomic_neoplasm_subdivision",0.953093527328555,0.944624597963315,0.762554760641673,0.938855985714836,0.895834582845159,0.869691898168078,0.83944602175413,0.859661016046869,0.960096656508943,3.18516384848077e-06,0.751784663199926,0.239337863587594,0.366467910234056,0.538313485599477,0.643308484847438
"patient.clinical_cqcf.country",3.54182252256793e-05,0.000103640686168258,2.50382960560485e-05,0.051681353511107,0.000404367504694068,8.30362966343812e-05,1.05285566445263e-05,4.11344781264456e-05,3.56367982182923e-05,0.206704267264694,1.37909583234451e-05,0.000823695593201766,0.00145797614944658,2.30585494559396e-05,2.12040662758369e-05
"patient.clinical_cqcf.frozen_specimen_anatomic_site",0.939509559859331,0.954397253924833,0.91730477961016,0.959933521650875,0.871592546701163,0.846392873831607,0.961559378670272,0.943034142700048,0.977323981697096,5.83283807780736e-06,0.812612602208611,0.534516708268706,0.253973898792226,0.613717429514647,0.744416294804886
"patient.clinical_cqcf.history_of_prior_malignancy",0.903526918669685,0.916431373467042,0.615483703416497,0.966062151789773,0.88566351976432,0.860979354441717,0.871620415382743,0.839641915763935,0.910021439497968,0.560808565637985,0.649193699788704,0.749871578246311,0.813510568046337,0.956190884397086,0.820631769833198
