"","RAV188","RAV1575","RAV324","RAV832","RAV61","RAV1008","RAV868","RAV64","RAV220","RAV834","RAV833","RAV438","RAV190","RAV1166","RAV192"
"pathologic_stage",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"pathology_T_stage",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"pathology_N_stage",NA,NA,NA,NA,NA,15.1720943108463,15.1918828953698,NA,NA,NA,NA,NA,14.3036508083152,NA,NA
"pathology_M_stage",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"residual_tumor.x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"race",NA,NA,NA,NA,8.05541438491218,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"patient.anatomic_neoplasm_subdivision",NA,NA,NA,NA,NA,NA,NA,NA,NA,37.8860190796482,NA,NA,NA,NA,NA
"patient.clinical_cqcf.country",32.3205370742761,29.7927541565645,33.1301659577961,NA,26.532694544353,30.3174080288545,35.1396096370999,31.9702764086337,32.3061465913341,NA,34.5153983830759,24.7987926501152,23.3890305271646,33.3220004020985,33.517093611358
"patient.clinical_cqcf.frozen_specimen_anatomic_site",NA,NA,NA,NA,NA,NA,NA,NA,NA,36.4998686847784,NA,NA,NA,NA,NA
"patient.clinical_cqcf.history_of_prior_malignancy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"patient.clinical_cqcf.normal_tissue_anatomic_site",NA,NA,NA,NA,NA,NA,NA,NA,NA,15.1157735685368,NA,NA,NA,NA,NA
"patient.drugs.drug.2.drug_name",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"patient.drugs.drug.2.prescribed_dose",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
