"","RAV324","RAV438","RAV222","RAV220","RAV188","RAV868","RAV119","RAV190","RAV468","RAV1008","RAV312","RAV2344","RAV517","RAV625","RAV21"
"pathologic_stage",26.1315842977049,NA,NA,34.4228371677391,31.732339668024,23.9107818550399,NA,27.1496306898393,NA,30.998134215386,NA,26.6842159852781,NA,20.3296766861315,22.1909357007319
"pathology_T_stage",33.0883764715386,NA,NA,34.1790646202535,44.8412502644971,23.0071350974144,51.704668309274,38.9269754674963,34.9036079480584,41.5990896716528,46.2835767501904,27.5427936061058,NA,29.8691439571996,54.5008391273909
"pathology_N_stage",NA,NA,NA,NA,NA,NA,15.5423786899471,NA,NA,NA,NA,NA,NA,NA,16.6874476374596
"pathology_M_stage",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"histological_type",45.5342803457156,36.7433943250644,NA,59.0437113585538,46.0090827175911,55.8561597107357,NA,29.0567469923642,NA,39.9839783515411,NA,36.4481873262421,NA,NA,NA
"residual_tumor",NA,NA,NA,NA,NA,NA,35.652588514949,NA,16.3811700641579,NA,37.7437074543914,NA,NA,12.6050587887332,46.3372889960826
"race",10.2801480030989,10.9023654983005,NA,9.52487999980417,9.34620903554901,13.6411325092479,NA,NA,NA,8.67746865185177,NA,13.4665528875237,NA,NA,NA
"patient.anatomic_neoplasm_subdivision",NA,NA,NA,14.2728692805797,14.1763097146288,NA,15.2970398941827,22.9147009937178,14.0917030737949,11.884052427828,14.0142106354485,NA,NA,NA,13.450791905213
"patient.clinical_cqcf.consent_or_death_status",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.83763739573669,NA
"patient.clinical_cqcf.country",62.9883099651372,76.4234063618335,40.0321501302055,58.8115675238846,61.7292181819071,78.7884588063787,37.5264723381365,57.0359587256189,44.9533764968389,44.0699609912378,46.5966394984214,51.7072069500621,23.8486693930229,22.3265045968915,45.7761845724453
