"","RAV99","RAV504","RAV1303","RAV468","RAV531","RAV683","RAV312","RAV27","RAV119","RAV2515","RAV503","RAV981","RAV1575","RAV220","RAV357"
"histological_type",0.491949656471136,0.474295952812198,0.74011060857297,0.486642981977733,0.268848430168032,0.648472272676194,0.241601257826173,0.420106757806738,0.158992540085316,0.353974601334369,0.742462814303238,0.391789897289599,0.643345693182943,0.0478818571138678,0.411052214440877
"residual_tumor",0.24409087930851,0.360101813497429,0.314621831672865,0.181537774011462,0.245736880696691,0.269032249730256,0.281317009206837,0.425195117321732,0.367842439544732,0.296342767659087,0.22200586773602,0.145251756519763,0.390571962016219,0.452400280952656,0.406653648008991
"patient.clinical_cqcf.histological_type",0.215100830015708,0.089281646663268,0.224486288468532,0.0996790724752222,0.138100990933325,0.264784577747313,0.00227440741633326,0.201552694897653,0.0173781437999179,0.0406418988806758,0.442961147231006,0.0383813653725961,0.551411398016484,0.0161524479825529,0.14257570979577
"patient.clinical_cqcf.normal_tissue_anatomic_site",0.157478446653158,0.214266896440992,0.243229895540471,0.158650442889144,0.467141513381565,0.18921197604161,0.111534481152378,0.405633355586826,0.296381556368072,0.109188891092741,0.13687547035158,0.177726783816231,0.464694720581988,0.202267172139996,0.566157141561856
"patient.drugs.drug.2.drug_name",0.64075866226804,0.507270298823159,0.706749733459063,0.392381447938346,0.334005406992172,0.421987923911492,0.783397815680657,0.576604481350327,0.521805817147871,0.552615327516912,0.361950591581019,0.573086019706637,0.263778839753497,0.140652771639624,0.152126707791657
"patient.drugs.drug.2.measure_of_response",0.818963711037173,0.613472280048793,0.783523298807561,0.969741767204271,0.529939257431179,0.461835629992912,0.818963711037173,0.659068731161885,0.645338634423327,0.578634694132665,0.580861319586973,0.783077608660995,0.69369815383229,0.587843541516407,0.72239889291636
"patient.drugs.drug.3.drug_name",0.299025439414459,0.28927648890794,0.301444283216546,0.260147179310649,0.279344911836764,0.236224234845788,0.171374201160229,0.512184469606225,0.138312156382828,0.222855501915291,0.174873172806541,0.293580335889959,0.278719658137108,0.62068726604228,0.311260251897192
"patient.drugs.drug.drug_name",0.354321356750544,0.238565189449813,0.474976303580732,0.581832604947798,0.216849356614266,0.756006634583316,0.49471328872075,0.392162998639043,0.612762165280558,0.256867734820314,0.857591254847571,0.282629587071549,0.140659830177474,0.329458996454552,0.127150621454402
"patient.drugs.drug.measure_of_response",0.486256849880384,0.445979521483062,0.395163487540591,0.715992947598276,0.458434776415612,0.441435959249275,0.889002242693299,0.283514292900138,0.723631836643484,0.405234816701126,0.436725491302783,0.627810598579989,0.362800722783314,0.408074840215812,0.405956642240899
"patient.follow_ups.follow_up.2.additional_treatment_completion_success_outcome",0.0849732583575737,0.169428874246522,0.195403386003265,0.808999870709287,0.111573056836402,0.308049136625303,0.759786203503081,0.0989277454302341,0.854734338724884,0.214291363231177,0.393525781182953,0.142945783772136,0.0427607926678867,0.374062144602082,0.351646515781658
