"","RAV99","RAV504","RAV1303","RAV468","RAV531","RAV683","RAV312","RAV27","RAV119","RAV2515","RAV503","RAV981","RAV1575","RAV220","RAV357"
"histological_type",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.07803722441042,NA
"residual_tumor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"patient.clinical_cqcf.histological_type",NA,9.5426316113311,NA,9.24507969966544,NA,NA,18.6070137021345,NA,13.7357332592308,11.6036167023248,NA,11.7498206221538,NA,13.9159153021426,NA
"patient.clinical_cqcf.normal_tissue_anatomic_site",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"patient.drugs.drug.2.drug_name",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"patient.drugs.drug.2.measure_of_response",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"patient.drugs.drug.3.drug_name",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"patient.drugs.drug.drug_name",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"patient.drugs.drug.measure_of_response",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"patient.follow_ups.follow_up.2.additional_treatment_completion_success_outcome",4.93083735909823,NA,NA,NA,NA,NA,NA,4.62673107890498,NA,NA,NA,NA,6.30426731078904,NA,NA
"patient.follow_ups.follow_up.2.pregnancies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"patient.follow_ups.follow_up.2.primary_therapy_outcome_success",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"patient.follow_ups.follow_up.additional_treatment_completion_success_outcome",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.19166885827161,NA
"patient.follow_ups.follow_up.horm_ther",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.73666876682512,NA,NA,NA,NA
"patient.follow_ups.follow_up.new_tumor_events.new_tumor_event.new_neoplasm_event_occurrence_anatomic_site",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"patient.follow_ups.follow_up.new_tumor_events.new_tumor_event.new_neoplasm_event_type",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"patient.follow_ups.follow_up.pregnancies",NA,NA,NA,NA,NA,NA,NA,NA,NA,8.19123495502419,8.03390997067856,NA,NA,NA,NA
"patient.follow_ups.follow_up.primary_therapy_outcome_success",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"patient.histological_type",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.07803722441042,NA
"patient.icd_10",NA,NA,NA,NA,6.99421281609716,NA,NA,6.63116106226767,NA,NA,NA,NA,NA,NA,NA
"patient.icd_o_3_histology",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.32882664835734,NA
"patient.icd_o_3_site",NA,NA,NA,NA,6.99421281609716,NA,NA,6.63116106226767,NA,NA,NA,NA,NA,NA,NA
"patient.init_pathology_dx_method_other",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"patient.initial_pathologic_diagnosis_method",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"patient.menopause_status",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"patient.neoplasm_histologic_grade",NA,NA,NA,NA,6.57880723960761,NA,NA,NA,NA,NA,NA,NA,7.28965098574145,7.9054563034598,NA
"patient.patient_id",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"patient.pregnancies",8.02285674819277,12.7507534501739,8.90014901570106,NA,NA,NA,NA,10.2051906438232,NA,12.6797690256634,NA,14.1386055311614,NA,NA,9.1003815387964
"patient.primary_therapy_outcome_success",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"patient.race",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.90675727198862,NA
"patient.radiations.radiation.2.anatomic_treatment_site",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"patient.radiations.radiation.2.radiation_type",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"patient.radiations.radiation.anatomic_treatment_site",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
